run,game,turn,seat,blanks,rack_tiles,wall_ms,cpu_ms
1788516924,0,0,0,1,7,15.9307,14.8407
1788516924,0,1,1,0,7,0.8970,0.8138
1788516924,0,2,0,0,7,1.1448,1.0604
1788516924,0,3,1,0,7,0.9918,0.9161
1788516924,0,4,0,0,7,0.9313,1.2674
1788516924,0,5,1,0,7,0.8145,0.7496
1788516924,0,6,0,0,7,0.4171,0.3843
1788516924,0,7,1,0,7,0.7402,0.6668
1788516924,0,8,0,0,7,0.7420,0.6769
1788516924,0,9,1,0,7,0.4821,0.4336
1788516924,0,10,0,0,7,0.2432,0.2190
1788516924,0,11,1,0,7,0.3835,0.3511
1788516924,0,12,0,1,7,2.2783,2.0813
1788516924,0,13,1,0,7,0.4071,0.3649
1788516924,0,14,0,0,7,0.3329,0.3039
1788516924,0,15,1,0,7,0.2712,0.2466
1788516924,0,16,0,0,7,0.3569,0.3256
1788516924,0,17,1,0,7,0.2353,0.2078
1788516924,0,18,0,0,7,0.3986,0.3650
1788516924,0,19,1,0,7,0.3449,0.3162
1788516924,0,20,0,0,7,0.2974,0.2788
1788516924,0,21,1,0,7,0.2724,0.2426
1788516924,0,22,0,0,7,0.2561,0.2329
1788516924,0,23,1,0,7,0.3337,0.3045
1788516924,0,24,0,0,7,0.2442,0.2213
1788516924,0,25,1,0,7,0.2295,0.2205
1788516924,0,26,0,0,7,0.2263,0.2004
1788516924,0,27,1,0,7,0.2219,0.2030
1788516924,0,28,0,0,7,0.2542,0.2301
1788516924,0,29,1,0,7,0.2212,0.2004
1788516924,0,30,0,0,7,0.1954,0.1769
1788516924,0,31,1,0,7,0.2112,0.1891
1788516924,0,32,0,0,7,0.2476,0.2293
1788516924,0,33,1,0,7,0.1986,0.1801
1788516924,0,34,0,0,7,0.1697,0.1536
1788516924,0,35,1,0,7,0.2727,0.2487
1788516924,0,36,0,0,7,0.2610,0.2374
1788516924,0,37,1,0,7,0.4449,0.3971
1788516924,0,38,0,0,7,0.2987,0.2725
1788516924,0,39,1,0,4,0.1828,0.1652
1788516924,0,40,0,0,3,0.1452,0.1304
1788516924,0,41,1,0,3,0.1474,0.1281
1788516924,0,42,0,0,2,0.1333,0.1175
1788516924,0,43,1,0,2,0.1413,0.1271
1788516924,0,44,0,0,1,0.1209,0.1062
1788516924,1,0,0,0,7,0.2333,0.2123
1788516924,1,1,1,0,7,1.3719,1.2637
1788516924,1,2,0,0,7,0.6452,0.4182
1788516924,1,3,1,0,7,1.1144,1.0270
1788516924,1,4,0,0,7,0.4153,0.3787
1788516924,1,5,1,0,7,0.5092,0.4657
1788516924,1,6,0,0,7,0.3407,0.3105
1788516924,1,7,1,0,7,0.5000,0.4334
1788516924,1,8,0,0,7,0.4278,0.4061
1788516924,1,9,1,0,7,0.4479,0.4087
1788516924,1,10,0,0,7,0.6101,0.5566
1788516924,1,11,1,0,7,0.2317,0.2102
1788516924,1,12,0,0,7,0.5534,0.5075
1788516924,1,13,1,0,7,0.4567,0.4163
1788516924,1,14,0,0,7,0.4894,0.4487
1788516924,1,15,1,0,7,0.4168,0.3825
1788516924,1,16,0,0,7,0.6226,0.5689
1788516924,1,17,1,1,7,4.3078,3.9525
1788516924,1,18,0,1,7,1.5970,1.4582
1788516924,1,19,1,0,7,0.8675,0.7523
1788516924,1,20,0,0,7,0.3942,0.3291
1788516924,1,21,1,0,7,0.5423,0.4660
1788516924,1,22,0,0,7,0.5160,0.4394
1788516924,1,23,1,0,7,0.6060,0.5499
1788516924,1,24,0,0,7,0.3074,0.2964
