run,game,turn,seat,blanks,rack_tiles,wall_ms,cpu_ms
1788518376,0,0,0,1,7,17.2275,15.9324
1788518376,0,1,1,0,7,0.8103,0.7376
1788518376,0,2,0,0,7,1.6475,1.4770
1788518376,0,3,1,0,7,1.4493,1.3238
1788518376,0,4,0,0,7,0.3779,0.3325
1788518376,0,5,1,0,7,0.4939,0.4448
1788518376,0,6,0,0,7,0.3886,0.3479
1788518376,0,7,1,0,7,0.4633,0.4223
1788518376,0,8,0,0,7,0.3305,0.2928
1788518376,0,9,1,0,7,0.4234,0.3867
1788518376,0,10,0,0,7,0.6638,0.6013
1788518376,0,11,1,0,7,0.5717,0.5250
1788518376,0,12,0,1,7,2.3297,2.1211
1788518376,0,13,1,0,7,0.5438,0.4913
1788518376,0,14,0,0,7,0.4632,0.4157
1788518376,0,15,1,0,7,0.2702,0.2482
1788518376,0,16,0,0,7,0.3396,0.3070
1788518376,0,17,1,0,7,0.2276,0.1993
1788518376,0,18,0,0,7,0.3877,0.3499
1788518376,0,19,1,0,7,0.2853,0.2584
1788518376,0,20,0,0,7,0.2298,0.2071
1788518376,0,21,1,0,7,0.2523,0.2261
1788518376,0,22,0,0,7,0.2353,0.2135
1788518376,0,23,1,0,7,0.2910,0.2614
1788518376,0,24,0,0,7,0.2006,0.1818
1788518376,0,25,1,0,7,0.2086,0.1881
1788518376,0,26,0,0,7,0.1914,0.1687
1788518376,0,27,1,0,7,0.1933,0.1746
1788518376,0,28,0,0,7,0.2251,0.2031
1788518376,0,29,1,0,7,0.2451,0.2178
1788518376,0,30,0,0,7,0.1714,0.1547
1788518376,0,31,1,0,7,0.1843,0.1662
1788518376,0,32,0,0,7,0.1603,0.1433
1788518376,0,33,1,0,7,0.2044,0.1847
1788518376,0,34,0,0,7,0.1777,0.1591
1788518376,0,35,1,0,7,0.4796,0.4232
1788518376,0,36,0,0,7,0.3059,0.2888
1788518376,0,37,1,0,7,0.4600,0.4163
1788518376,0,38,0,0,7,0.3048,0.2759
1788518376,0,39,1,0,4,0.2302,0.1973
1788518376,0,40,0,0,3,0.2547,0.2352
1788518376,0,41,1,0,3,0.2506,0.2186
1788518376,0,42,0,0,2,0.1885,0.1595
1788518376,0,43,1,0,2,0.1961,0.2143
1788518376,0,44,0,0,1,0.1620,0.1440
1788518376,1,0,0,0,7,0.2923,0.2650
1788518376,1,1,1,0,7,1.5107,1.3809
1788518376,1,2,0,0,7,0.6641,0.5991
1788518376,1,3,1,0,7,0.8890,0.8114
1788518376,1,4,0,0,7,0.3659,0.3225
1788518376,1,5,1,0,7,0.4446,0.4041
1788518376,1,6,0,0,7,0.3362,0.3019
1788518376,1,7,1,0,7,0.3390,0.3041
1788518376,1,8,0,0,7,0.6740,0.5741
1788518376,1,9,1,0,7,0.8154,0.5464
1788518376,1,10,0,0,7,1.0180,0.9232
1788518376,1,11,1,0,7,0.3018,0.2783
1788518376,1,12,0,0,7,0.7178,0.6537
1788518376,1,13,1,0,7,0.6159,0.5473
1788518376,1,14,0,0,7,0.5326,0.4864
1788518376,1,15,1,0,7,0.5166,0.4638
1788518376,1,16,0,0,7,0.4417,0.4019
1788518376,1,17,1,1,7,4.1414,3.7890
1788518376,1,18,0,1,7,2.1231,1.9422
1788518376,1,19,1,0,7,0.5133,0.4674
1788518376,1,20,0,0,7,0.3561,0.3159
1788518376,1,21,1,0,7,0.3538,0.3172
1788518376,1,22,0,0,7,0.3213,0.2809
1788518376,1,23,1,0,7,0.3376,0.3025
1788518376,1,24,0,0,7,0.3816,0.3432
1788518376,1,25,1,0,7,0.3604,0.3193
1788518376,1,26,0,0,7,0.2965,0.2683
1788518376,1,27,1,0,7,0.2354,0.2128
1788518376,1,28,0,0,7,0.2006,0.1779
1788518376,1,29,1,0,7,0.2874,0.2611
1788518376,1,30,0,0,7,0.2529,0.2286
1788518376,1,31,1,0,7,0.2998,0.2732
1788518376,1,32,0,0,4,0.1600,0.1427
1788518376,1,33,1,0,3,0.1778,0.1587
1788518376,1,34,0,0,3,0.1790,0.1590
1788518376,1,35,1,0,2,0.1529,0.1288
1788518376,2,0,0,0,7,0.5248,0.4715
1788518376,2,1,1,0,7,1.1141,1.0096
1788518376,2,2,0,0,7,3.1200,2.8650
1788518376,2,3,1,0,7,0.7648,0.6963
1788518376,2,4,0,0,7,0.5477,0.4919
1788518376,2,5,1,0,7,0.6398,0.5824
1788518376,2,6,0,0,7,0.4550,0.4085
1788518376,2,7,1,0,7,0.3215,0.2927
1788518376,2,8,0,0,7,0.2938,0.2656
1788518376,2,9,1,0,7,0.6589,0.5805
1788518376,2,10,0,1,7,1.0041,0.9186
1788518376,2,11,1,1,7,0.9417,0.8579
1788518376,2,12,0,0,7,0.2234,0.2010
1788518376,2,13,1,0,7,0.2406,0.2153
1788518376,2,14,0,0,7,0.2097,0.1846
1788518376,2,15,1,0,7,0.2026,0.1800
1788518376,2,16,0,0,7,0.1745,0.1564
1788518376,2,17,1,0,7,0.1845,0.1655
1788518376,2,18,0,0,7,0.2143,0.1929
1788518376,2,19,1,0,7,0.2040,0.1831
1788518376,2,20,0,0,7,0.1704,0.1497
1788518376,2,21,1,0,7,0.2069,0.1730
1788518376,2,22,0,0,7,0.2012,0.1790
1788518376,2,23,1,0,7,0.1811,0.1623
1788518376,2,24,0,0,7,0.1889,0.1692
1788518376,2,25,1,0,7,0.1479,0.1321
1788518376,2,26,0,0,7,0.1516,0.1332
1788518376,2,27,1,0,7,0.1437,0.1282
1788518376,2,28,0,0,7,0.1782,0.1598
1788518376,2,29,1,0,7,0.2497,0.2206
1788518376,2,30,0,0,7,0.1677,0.1473
1788518376,3,0,0,0,7,0.2986,0.2701
1788518376,3,1,1,0,7,1.0155,0.9282
1788518376,3,2,0,0,7,0.9083,0.8222
1788518376,3,3,1,0,7,0.7422,0.6723
1788518376,3,4,0,0,7,0.7612,0.6922
1788518376,3,5,1,0,7,1.3430,1.2397
1788518376,3,6,0,0,7,0.5507,0.5008
1788518376,3,7,1,0,7,0.6590,0.5991
1788518376,3,8,0,0,7,0.6695,0.6093
1788518376,3,9,1,0,7,0.3522,0.3143
1788518376,3,10,0,0,7,0.4615,0.4211
1788518376,3,11,1,0,7,0.3421,0.3092
1788518376,3,12,0,0,7,0.4812,0.4363
1788518376,3,13,1,0,7,0.3556,0.3068
1788518376,3,14,0,0,7,0.4388,0.3973
1788518376,3,15,1,1,7,0.9811,0.8923
1788518376,3,16,0,0,7,0.2601,0.2347
1788518376,3,17,1,0,7,0.2080,0.1852
1788518376,3,18,0,1,7,2.2101,2.0310
1788518376,3,19,1,0,7,0.7046,0.6489
1788518376,3,20,0,0,7,0.5322,0.4397
1788518376,3,21,1,0,7,0.3984,0.3644
1788518376,3,22,0,0,7,0.8336,0.7661
1788518376,3,23,1,0,7,0.4008,0.3646
1788518376,3,24,0,0,7,0.2971,0.2694
1788518376,3,25,1,0,7,0.3424,0.3129
1788518376,3,26,0,0,7,0.2604,0.2398
1788518376,3,27,1,0,7,0.2235,0.2043
1788518376,3,28,0,0,7,0.2602,0.2396
1788518376,3,29,1,0,7,0.1819,0.1669
