run,game,turn,seat,blanks,rack_tiles,wall_ms,cpu_ms
1788518397,0,0,0,1,7,37.9130,37.8919
1788518397,0,1,1,0,7,1.7115,1.7059
1788518397,0,2,0,0,7,45.7533,45.7477
1788518397,0,3,1,0,7,1.8439,1.8380
1788518397,0,4,0,0,7,0.7462,0.7150
1788518397,0,5,1,0,7,1.0454,1.0416
1788518397,0,6,0,0,7,0.7251,0.7178
1788518397,0,7,1,0,7,0.9877,0.9887
1788518397,0,8,0,0,7,0.4833,0.4827
1788518397,0,9,1,0,7,0.8221,0.8227
1788518397,0,10,0,0,7,0.4456,0.4452
1788518397,0,11,1,0,7,0.7513,0.7508
1788518397,0,12,0,1,7,5.1434,5.1403
1788518397,0,13,1,0,7,0.6685,0.6690
1788518397,0,14,0,0,7,0.6264,0.6269
1788518397,0,15,1,0,7,0.3983,0.3985
1788518397,0,16,0,0,7,0.6580,0.6582
1788518397,0,17,1,0,7,0.3231,0.3230
1788518397,0,18,0,0,7,0.7804,0.7808
1788518397,0,19,1,0,7,0.5990,0.5983
1788518397,0,20,0,0,7,0.3908,0.3924
1788518397,0,21,1,0,7,0.5321,0.5192
1788518397,0,22,0,0,7,0.4054,0.4063
1788518397,0,23,1,0,7,0.6161,0.6164
1788518397,0,24,0,0,7,0.3402,0.3408
1788518397,0,25,1,0,7,0.4306,0.3833
1788518397,0,26,0,0,7,0.3716,0.3360
1788518397,0,27,1,0,7,0.3314,0.3302
1788518397,0,28,0,0,7,0.4850,0.4854
1788518397,0,29,1,0,7,0.3260,0.3264
1788518397,0,30,0,0,7,0.2614,0.2613
1788518397,0,31,1,0,7,0.3717,0.3724
1788518397,0,32,0,0,7,0.2314,0.2303
1788518397,0,33,1,0,7,0.4371,0.3342
1788518397,0,34,0,0,7,0.3528,0.3505
1788518397,0,35,1,0,7,0.4691,0.4686
1788518397,0,36,0,0,7,0.5002,0.5015
1788518397,0,37,1,0,7,0.9010,0.9011
1788518397,0,38,0,0,7,0.5563,0.5363
1788518397,0,39,1,0,4,0.3250,0.3244
1788518397,0,40,0,0,3,0.2450,0.2448
