run,game,turn,seat,blanks,rack_tiles,wall_ms,cpu_ms
1788516948,0,0,0,1,7,31.6830,31.6893
1788516948,0,1,1,0,7,1.7489,1.7437
1788516948,0,2,0,0,7,2.4065,2.3713
1788516948,0,3,1,0,7,2.0017,2.0134
1788516948,0,4,0,0,7,0.7835,0.7759
1788516948,0,5,1,0,7,1.1086,1.1055
1788516948,0,6,0,0,7,0.8188,0.8166
1788516948,0,7,1,0,7,0.9907,0.9880
1788516948,0,8,0,0,7,0.5227,0.5231
1788516948,0,9,1,0,7,0.8530,0.8542
1788516948,0,10,0,0,7,0.4288,0.4281
1788516948,0,11,1,0,7,0.7889,0.7886
1788516948,0,12,0,1,7,55.0513,55.0291
1788516948,0,13,1,0,7,0.8062,0.8037
1788516948,0,14,0,0,7,0.6683,0.6658
1788516948,0,15,1,0,7,0.4478,0.4472
1788516948,0,16,0,0,7,0.7014,0.7026
1788516948,0,17,1,0,7,0.3394,0.3389
1788516948,0,18,0,0,7,0.8178,0.8186
1788516948,0,19,1,0,7,0.5947,0.5928
1788516948,0,20,0,0,7,0.4318,0.4320
1788516948,0,21,1,0,7,0.6003,0.5973
1788516948,0,22,0,0,7,0.4283,0.4395
1788516948,0,23,1,0,7,0.6295,0.6043
1788516948,0,24,0,0,7,0.3489,0.3484
1788516948,0,25,1,0,7,0.3665,0.3657
1788516948,0,26,0,0,7,0.4064,0.4073
1788516948,0,27,1,0,7,0.3427,0.3424
1788516948,0,28,0,0,7,0.4998,0.4758
1788516948,0,29,1,0,7,0.3365,0.3361
1788516948,0,30,0,0,7,0.2700,0.2692
1788516948,0,31,1,0,7,0.3769,0.3911
1788516948,0,32,0,0,7,0.2429,0.2422
1788516948,0,33,1,0,7,0.3422,0.3414
1788516948,0,34,0,0,7,0.4436,0.4439
1788516948,0,35,1,0,7,0.4910,0.4892
1788516948,0,36,0,0,7,0.6587,0.6560
1788516948,0,37,1,0,7,0.9930,0.9948
1788516948,0,38,0,0,7,0.6598,0.6086
1788516948,0,39,1,0,4,0.3557,0.3554
1788516948,0,40,0,0,3,0.2174,0.2168
1788516948,0,41,1,0,3,0.2268,0.2265
1788516948,0,42,0,0,2,0.1949,0.1931
1788516948,0,43,1,0,2,0.2444,0.2441
1788516948,0,44,0,0,1,0.1776,0.1774
1788516948,1,0,0,0,7,0.4701,0.4683
1788516948,1,1,1,0,7,3.1287,3.1246
1788516948,1,2,0,0,7,0.8160,0.8130
1788516948,1,3,1,0,7,1.8884,1.8853
1788516948,1,4,0,0,7,0.5955,0.5936
1788516948,1,5,1,0,7,0.8379,0.8456
1788516948,1,6,0,0,7,0.5607,0.5482
1788516948,1,7,1,0,7,0.6187,0.6057
1788516948,1,8,0,0,7,0.6847,0.6858
1788516948,1,9,1,0,7,0.4870,0.4861
1788516948,1,10,0,0,7,1.2480,1.2454
1788516948,1,11,1,0,7,0.4333,0.4341
1788516948,1,12,0,0,7,1.1517,1.1521
1788516948,1,13,1,0,7,0.9280,0.9287
1788516948,1,14,0,0,7,1.0301,1.0303
1788516948,1,15,1,0,7,0.8641,0.8649
1788516948,1,16,0,0,7,0.8767,0.8771
1788516948,1,17,1,1,7,8.6008,116.6122
1788516948,1,18,0,1,7,3.9867,3.9707
1788516948,1,19,1,0,7,1.2898,1.2891
1788516948,1,20,0,0,7,0.7430,0.7348
1788516948,1,21,1,0,7,0.8296,0.8269
1788516948,1,22,0,0,7,0.6285,0.6389
1788516948,1,23,1,0,7,0.6491,0.6473
1788516948,1,24,0,0,7,0.4917,0.4889
1788516948,1,25,1,0,7,0.6117,0.6129
1788516948,1,26,0,0,7,0.4307,0.4292
1788516948,1,27,1,0,7,0.3886,0.3790
1788516948,1,28,0,0,7,0.3541,0.3321
1788516948,1,29,1,0,7,1.9873,1.9901
1788516948,1,30,0,0,7,0.4951,0.4692
1788516948,1,31,1,0,7,0.6660,0.6553
1788516948,1,32,0,0,4,0.2721,0.2651
1788516948,1,33,1,0,3,0.2500,0.2442
1788516948,1,34,0,0,3,0.2623,0.2317
1788516948,1,35,1,0,2,0.4494,0.4359
1788516948,2,0,0,0,7,1.3358,1.3123
1788516948,2,1,1,0,7,2.7332,2.7257
1788516948,2,2,0,0,7,3.2469,3.2407
1788516948,2,3,1,0,7,1.4776,1.4712
1788516948,2,4,0,0,7,0.9468,0.9478
1788516948,2,5,1,0,7,1.4352,1.4337
1788516948,2,6,0,0,7,0.9834,0.9805
1788516948,2,7,1,0,7,0.5652,0.5658
1788516948,2,8,0,0,7,0.5289,0.5272
1788516948,2,9,1,0,7,0.6721,0.6721
1788516948,2,10,0,1,7,1.9216,1.9210
1788516948,2,11,1,1,7,1.7237,1.7214
1788516948,2,12,0,0,7,0.3612,0.3606
1788516948,2,13,1,0,7,0.4082,0.4060
1788516948,2,14,0,0,7,0.3370,0.3365
1788516948,2,15,1,0,7,0.3242,0.3231
1788516948,2,16,0,0,7,0.2883,0.2864
1788516948,2,17,1,0,7,0.3186,0.3192
1788516948,2,18,0,0,7,0.3570,0.3567
1788516948,2,19,1,0,7,0.3682,0.3666
1788516948,2,20,0,0,7,0.2697,0.2695
1788516948,2,21,1,0,7,0.3141,0.3133
1788516948,2,22,0,0,7,0.3564,0.3548
1788516948,2,23,1,0,7,0.3131,0.3126
1788516948,2,24,0,0,7,0.3109,0.3104
1788516948,2,25,1,0,7,0.2365,0.2351
1788516948,2,26,0,0,7,0.2629,0.2637
1788516948,2,27,1,0,7,0.2331,0.2329
1788516948,2,28,0,0,7,0.2483,0.2482
1788516948,2,29,1,0,7,0.2314,0.2296
1788516948,2,30,0,0,7,0.2592,0.2595
1788516948,3,0,0,0,7,0.5303,0.5294
1788516948,3,1,1,0,7,2.0392,2.0375
1788516948,3,2,0,0,7,1.7278,1.7258
1788516948,3,3,1,0,7,1.4682,1.4665
1788516948,3,4,0,0,7,1.4403,1.4517
1788516948,3,5,1,0,7,52.6725,52.6923
1788516948,3,6,0,0,7,1.2188,1.2222
1788516948,3,7,1,0,7,0.9386,0.9405
1788516948,3,8,0,0,7,1.0637,1.0662
1788516948,3,9,1,0,7,0.8021,0.8044
1788516948,3,10,0,0,7,0.4852,0.4845
1788516948,3,11,1,0,7,0.5479,0.5489
1788516948,3,12,0,0,7,0.6395,0.6361
1788516948,3,13,1,0,7,0.5452,0.5623
1788516948,3,14,0,0,7,0.6238,0.5752
1788516948,3,15,1,1,7,2.7154,2.7090
1788516948,3,16,0,0,7,0.5803,0.5818
1788516948,3,17,1,0,7,0.3513,0.3514
1788516948,3,18,0,1,7,4.2259,4.2245
1788516948,3,19,1,0,7,0.6700,0.6461
1788516948,3,20,0,0,7,0.7355,0.7329
1788516948,3,21,1,0,7,0.5296,0.5223
1788516948,3,22,0,0,7,0.6118,0.6093
1788516948,3,23,1,0,7,0.4820,0.4812
1788516948,3,24,0,0,7,0.3863,0.3851
1788516948,3,25,1,0,7,0.3448,0.3334
1788516948,3,26,0,0,7,0.3090,0.3103
1788516948,3,27,1,0,7,0.3179,0.3162
1788516948,3,28,0,0,7,0.3341,0.3341
1788516948,3,29,1,0,7,0.1932,0.1924
1788516948,3,30,0,0,7,0.5666,0.5646
1788516948,3,31,1,0,7,0.1868,0.2180
1788516948,3,32,0,0,7,0.3279,0.3142
1788516948,3,33,1,0,7,0.2653,0.2555
1788516948,3,34,0,0,7,0.2770,0.2767
1788516948,4,0,0,0,7,0.6527,0.6533
1788516948,4,1,1,0,7,0.6994,0.6921
1788516948,4,2,0,1,7,2.4264,2.4263
1788516948,4,3,1,0,7,2.3102,2.3079
1788516948,4,4,0,1,7,4.7894,4.8114
1788516948,4,5,1,0,7,1.1842,1.1859
1788516948,4,6,0,0,7,0.5038,0.5050
1788516948,4,7,1,0,7,0.9884,0.9898
1788516948,4,8,0,1,7,4.6197,4.6202
1788516948,4,9,1,0,7,0.7018,0.6941
1788516948,4,10,0,0,7,0.6947,0.6955
1788516948,4,11,1,0,7,0.5434,0.5394
1788516948,4,12,0,0,7,0.4808,0.4805
1788516948,4,13,1,0,7,0.5023,0.4974
1788516948,4,14,0,0,7,0.3570,0.3561
1788516948,4,15,1,0,7,0.4505,0.4510
1788516948,4,16,0,0,7,56.1462,0.3993
1788516948,4,17,1,0,7,0.4496,0.4423
1788516948,4,18,0,0,7,0.2960,0.2883
1788516948,4,19,1,0,7,0.2689,0.2627
1788516948,4,20,0,0,7,0.2273,0.2236
1788516948,4,21,1,0,7,0.2679,0.2653
1788516948,4,22,0,0,7,0.1863,0.1860
1788516948,4,23,1,0,7,0.2129,0.2110
1788516948,4,24,0,0,7,0.2069,0.2108
1788516948,4,25,1,0,7,0.2151,0.2142
1788516948,5,0,0,0,7,0.4212,0.4163
1788516948,5,1,1,0,7,0.8279,0.8203
1788516948,5,2,0,0,7,7.4410,7.4375
1788516948,5,3,1,0,7,3.5612,3.5443
1788516948,5,4,0,0,7,3.3437,3.3414
1788516948,5,5,1,0,7,2.0792,2.0547
1788516948,5,6,0,0,7,2.1391,2.1361
1788516948,5,7,1,0,7,2.0176,2.0146
1788516948,5,8,0,0,7,1.2758,1.2764
1788516948,5,9,1,0,7,0.8433,0.8450
1788516948,5,10,0,0,7,0.7637,0.7656
1788516948,5,11,1,0,7,0.5888,0.5886
1788516948,5,12,0,1,7,6.6827,6.6796
1788516948,5,13,1,0,7,0.6545,0.6706
1788516948,5,14,0,0,7,0.6918,0.6911
1788516948,5,15,1,0,7,0.9364,0.9352
1788516948,5,16,0,0,7,0.6957,0.6955
1788516948,5,17,1,0,7,0.7710,0.7713
1788516948,5,18,0,0,7,0.6714,0.6697
1788516948,5,19,1,0,7,0.7133,0.7130
1788516948,5,20,0,0,7,0.5969,0.5975
1788516948,5,21,1,0,7,0.4262,0.4250
1788516948,5,22,0,0,7,0.5152,0.5158
1788516948,5,23,1,0,7,0.3743,0.3731
